window_start,window_end,mad_timestamp(s),mad_accel(m/s2),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca
0,60,0.14,0.14,200,-1.0,-0.1,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.0,0.0,0,0,0.019474926829268,0.026313794708674478,0.1196819999999999,0.019474926829268,0.026313794708674478,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,1.6666666666666714,1.4210854715202004e-14,68.33333333333333,5.263157894736842,30.0,94.73684210526315
5,65,0.14,0.14,200,-1.0,-0.1,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.0,0.0,0,0,0.020708277777777524,0.02769381463894389,0.1196819999999999,0.020708277777777524,0.02769381463894389,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,1.6666666666666643,1.4210854715202004e-14,60.0,5.263157894736842,38.333333333333336,94.73684210526315
10,70,0.14,0.14,200,-1.0,-0.1,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.0,0.0,0,0,0.0223394838709675,0.02934022337895829,0.1196819999999999,0.0223394838709675,0.02934022337895829,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,1.6666666666666643,1.4210854715202004e-14,51.66666666666667,5.263157894736842,46.666666666666664,94.73684210526315
15,75,0.14,0.14,200,-1.0,-0.1,0.05677400000000052,0.05677400000000052,0.05677400000000052,0.05677400000000052,33.0,0.0,33,1,0.018898923076922827,0.017469908240090076,0.05677400000000052,0.018898923076922827,0.017469908240090076,0.05677400000000052,0.026680066666666637,0.017284415660614397,0.05677400000000052,0.026680066666666637,0.017284415660614397,0.05677400000000052,56.666666666666664,21.05263157894737,43.333333333333336,78.94736842105263,0.0,0.0
20,80,0.14,0.14,200,-1.0,-0.1,0.05677400000000052,0.05677400000000052,0.05677400000000052,0.05677400000000052,32.5,0.5,65,2,0.022601538461538333,0.017242909863367573,0.05677400000000052,0.022601538461538333,0.017242909863367573,0.05677400000000052,0.02587821052631577,0.017067124546081877,0.05677400000000052,0.02587821052631577,0.017067124546081877,0.05677400000000052,56.666666666666664,0.0,43.333333333333336,100.0,0.0,0.0
25,85,0.14,0.14,200,-1.0,-0.1,0.05677400000000052,0.05677400000000052,0.05677400000000052,0.05677400000000052,22.0,14.854853303438128,66,3,0.02331842307692296,0.016930563228790923,0.05677400000000052,0.02331842307692296,0.016930563228790923,0.05677400000000052,0.02587821052631577,0.017067124546081877,0.05677400000000052,0.02587821052631577,0.017067124546081877,0.05677400000000052,56.666666666666664,0.0,43.333333333333336,100.0,0.0,0.0
30,90,0.14,0.14,200,-1.0,-0.1,0.0618029999999997,0.0618029999999997,0.056350999999999596,0.056350999999999596,22.0,14.854853303438128,66,3,0.021094692307692082,0.017708867193864917,0.0618029999999997,0.021094692307692082,0.017708867193864917,0.0618029999999997,0.02440786666666662,0.01723608173519211,0.056350999999999596,0.02440786666666662,0.01723608173519211,0.056350999999999596,56.666666666666664,6.25,43.333333333333336,93.75,0.0,0.0
35,95,0.14,0.14,200,-1.0,-0.1,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.0,0.0,0,0,0.035564999999999736,0.03218471871964251,0.1196819999999999,0.035564999999999736,0.03218471871964251,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,1.6666666666666643,9.09090909090908,53.333333333333336,9.090909090909092,45.0,81.81818181818183
40,100,0.14,0.14,200,-1.0,-0.1,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.0,0.0,0,0,0.03558437837837814,0.03206060952730377,0.1196819999999999,0.03558437837837814,0.03206060952730377,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,0.1196819999999999,0.0,0.1196819999999999,1.6666666666666643,16.666666666666686,61.66666666666667,16.666666666666664,36.666666666666664,66.66666666666666
45,105,0.14,0.14,200,-1.0,-0.1,0.0863280000000003,0.0863280000000003,0.0,0.0,0.0,0.0,0,0,0.03388331707317051,0.028851034808713823,0.0952789999999991,0.03388331707317051,0.028851034808713823,0.0952789999999991,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,68.33333333333333,0.0,30.0,0.0
50,110,0.14,0.14,200,-1.0,-0.1,0.0716129999999997,0.0716129999999997,0.0,0.0,0.0,0.0,0,0,0.03424221951219488,0.02745080428117778,0.0952789999999991,0.03424221951219488,0.02745080428117778,0.0952789999999991,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,68.33333333333333,0.0,30.0,0.0
55,115,0.14,0.14,200,-1.0,-0.1,0.0765180000000003,0.0765180000000003,0.0,0.0,0.0,0.0,0,0,0.03692202439024371,0.027674447898948358,0.0952789999999991,0.03692202439024371,0.027674447898948358,0.0952789999999991,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,68.33333333333333,0.0,30.0,0.0
60,120,0.14,0.14,200,-1.0,-0.1,0.0912329999999997,0.0912329999999997,0.0,0.0,0.0,0.0,0,0,0.03480647619047598,0.025837256361639027,0.0952789999999991,0.03480647619047598,0.025837256361639027,0.0952789999999991,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,100.0,70.0,0.0,28.333333333333332,0.0
65,125,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.039995276595744506,0.02917012308211312,0.1010429999999997,0.039995276595744506,0.02917012308211312,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,78.33333333333333,100.0,20.0,0.0
70,130,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.04167713461538443,0.028798841457085486,0.1010429999999997,0.04167713461538443,0.028798841457085486,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666625,0.0,86.66666666666667,100.0,11.666666666666666,0.0
75,135,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.039948824561403334,0.02826931017665558,0.1010429999999997,0.039948824561403334,0.02826931017665558,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666665,0.0,95.0,100.0,3.3333333333333335,0.0
80,140,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.037976338983050674,0.026551920677828703,0.1010429999999997,0.037976338983050674,0.026551920677828703,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,98.33333333333333,100.0,0.0,0.0
85,145,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.04083620338983036,0.026330364056512144,0.1010429999999997,0.04083620338983036,0.026330364056512144,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,98.33333333333333,100.0,0.0,0.0
90,150,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.04219962711864397,0.025199428221854923,0.1010429999999997,0.04219962711864397,0.025199428221854923,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,98.33333333333333,100.0,0.0,0.0
95,155,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.0392067457627118,0.02421609544139787,0.1010429999999997,0.0392067457627118,0.02421609544139787,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,98.33333333333333,100.0,0.0,0.0
100,160,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.04115211864406773,0.024825062125366358,0.1010429999999997,0.04115211864406773,0.024825062125366358,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,98.33333333333333,100.0,0.0,0.0
105,165,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.04185045762711853,0.024258926214811388,0.1010429999999997,0.04185045762711853,0.024258926214811388,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,98.33333333333333,100.0,0.0,0.0
110,170,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.04128513559322022,0.024940345421511873,0.1010429999999997,0.04128513559322022,0.024940345421511873,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,98.33333333333333,100.0,0.0,0.0
115,175,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.04372932203389819,0.02543504637136021,0.1010429999999997,0.04372932203389819,0.02543504637136021,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,98.33333333333333,100.0,0.0,0.0
120,180,0.14,0.14,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.0,0.0,0,0,0.044926474576271046,0.025178245430554115,0.1010429999999997,0.044926474576271046,0.025178245430554115,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,0.1010429999999997,0.0,0.1010429999999997,1.6666666666666714,0.0,98.33333333333333,100.0,0.0,0.0
125,185,0.14,0.14,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.0,0.0,0.0,0.0,0,0,0.04200010169491509,0.023316686960269853,0.0961380000000003,0.04200010169491509,0.023316686960269853,0.0961380000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
130,190,0.14,0.14,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.0,0.0,0.0,0.0,0,0,0.04121921052631563,0.024024218008148555,0.0961380000000003,0.04121921052631563,0.024024218008148555,0.0961380000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666665,0.0,95.0,0.0,3.3333333333333335,100.0
135,195,0.14,0.14,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.0,0.0,0.0,0.0,0,0,0.04280555769230753,0.024337918218455167,0.0961380000000003,0.04280555769230753,0.024337918218455167,0.0961380000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666625,0.0,86.66666666666667,0.0,11.666666666666666,100.0
140,200,0.14,0.14,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.0,0.0,0.0,0.0,0,0,0.044395468085106235,0.024646566529555207,0.0961380000000003,0.044395468085106235,0.024646566529555207,0.0961380000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,0.0,78.33333333333333,0.0,20.0,100.0
145,205,0.14,0.14,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.0,0.0,0.0,0.0,0,0,0.04339757142857127,0.024695205705082296,0.0961380000000003,0.04339757142857127,0.024695205705082296,0.0961380000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.0,70.0,0.0,28.333333333333332,100.0
150,210,0.14,0.14,200,-1.0,-0.1,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.043537714285714145,0.028881407015657688,0.1245869999999993,0.043537714285714145,0.028881407015657688,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666679,0.0,70.0,5.555555555555555,28.333333333333332,94.44444444444444
155,215,0.14,0.14,200,-1.0,-0.1,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.041715857142856964,0.029558369694210013,0.1245869999999993,0.041715857142856964,0.029558369694210013,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666679,0.0,70.0,5.555555555555555,28.333333333333332,94.44444444444444
160,220,0.14,0.14,200,-1.0,-0.1,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.03853928571428554,0.028552136763743467,0.1245869999999993,0.03853928571428554,0.028552136763743467,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666679,0.0,70.0,5.555555555555555,28.333333333333332,94.44444444444444
165,225,0.14,0.14,200,-1.0,-0.1,0.1182590000000001,0.1182590000000001,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.03827247499999983,0.02912593958740861,0.1245869999999993,0.03827247499999983,0.02912593958740861,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666785,0.0,66.66666666666666,5.555555555555555,31.666666666666664,94.44444444444444
170,230,0.14,0.14,200,-1.0,-0.1,0.1182590000000001,0.1182590000000001,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.038386514285714095,0.028238675253601513,0.1245869999999993,0.038386514285714095,0.028238675253601513,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666643,0.0,58.333333333333336,5.555555555555555,40.0,94.44444444444444
175,235,0.14,0.14,200,-1.0,-0.1,0.1182590000000001,0.1182590000000001,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.03490886666666648,0.028650743361773763,0.1245869999999993,0.03490886666666648,0.028650743361773763,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666643,1.4210854715202004e-14,50.0,5.263157894736842,48.333333333333336,94.73684210526315
180,240,0.14,0.14,200,-1.0,-0.1,0.09747200000000061,0.09747200000000061,0.09747200000000061,0.09747200000000061,18.0,17.0,36,2,0.03825499999999992,0.032726701458408794,0.13462599999999897,0.03825499999999992,0.032726701458408794,0.13462599999999897,0.040672062500000036,0.034710350839966736,0.13462599999999897,0.040672062500000036,0.034710350839966736,0.13462599999999897,61.666666666666664,23.80952380952381,38.333333333333336,76.19047619047619,0.0,0.0
185,245,0.14,0.14,200,-1.0,-0.1,0.09747200000000061,0.09747200000000061,0.09747200000000061,0.09747200000000061,18.0,16.507574019219177,72,4,0.032426391304347824,0.03192368786277546,0.13462599999999897,0.032426391304347824,0.03192368786277546,0.13462599999999897,0.03854188888888891,0.03328554151895181,0.13462599999999897,0.03854188888888891,0.03328554151895181,0.13462599999999897,61.666666666666664,14.285714285714292,38.333333333333336,85.71428571428571,0.0,0.0
190,250,0.14,0.14,200,-1.0,-0.1,0.13462599999999897,0.13462599999999897,0.13462599999999897,0.13462599999999897,24.0,15.57776192739723,72,3,0.02513134782608688,0.028381690430717796,0.13462599999999897,0.02513134782608688,0.028381690430717796,0.13462599999999897,0.03392326666666672,0.03142110022148925,0.13462599999999897,0.03392326666666672,0.03142110022148925,0.13462599999999897,61.666666666666664,21.05263157894737,38.333333333333336,78.94736842105263,0.0,0.0
195,255,0.14,0.14,200,-1.0,-0.1,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.019875096774193284,0.024186965000974767,0.1245869999999993,0.019875096774193284,0.024186965000974767,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666643,7.142857142857153,51.66666666666667,7.142857142857142,46.666666666666664,85.71428571428571
200,260,0.14,0.14,200,-1.0,-0.1,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.01847716666666641,0.02280096310161289,0.1245869999999993,0.01847716666666641,0.02280096310161289,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666643,11.1111111111111,60.0,11.11111111111111,38.333333333333336,77.77777777777779
205,265,0.14,0.14,200,-1.0,-0.1,0.0417409999999999,0.0417409999999999,0.0,0.0,0.0,0.0,0,0,0.01616347499999976,0.013587010211940625,0.0652849999999995,0.01616347499999976,0.013587010211940625,0.0652849999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666785,25.0,66.66666666666666,0.0,31.666666666666664,75.0
210,270,0.14,0.14,200,-1.0,-0.1,0.0417409999999999,0.0417409999999999,0.0,0.0,0.0,0.0,0,0,0.016261574999999695,0.014128502114321173,0.0652849999999995,0.016261574999999695,0.014128502114321173,0.0652849999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666785,0.0,66.66666666666666,0.0,31.666666666666664,100.0
215,275,0.14,0.14,200,-1.0,-0.1,0.0417409999999999,0.0417409999999999,0.0,0.0,0.0,0.0,0,0,0.015305099999999665,0.013977798206083903,0.0652849999999995,0.015305099999999665,0.013977798206083903,0.0652849999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666785,0.0,66.66666666666666,0.0,31.666666666666664,100.0
220,280,0.14,0.14,200,-1.0,-0.1,0.056456000000000506,0.056456000000000506,0.0,0.0,0.0,0.0,0,0,0.014103374999999635,0.013151198549348141,0.0652849999999995,0.014103374999999635,0.013151198549348141,0.0652849999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666785,0.0,66.66666666666666,0.0,31.666666666666664,100.0
225,285,0.14,0.14,200,-1.0,-0.1,0.0436660000000006,0.0436660000000006,0.0,0.0,0.0,0.0,0,0,0.012080255813953106,0.010041974509569328,0.0436660000000006,0.012080255813953106,0.010041974509569328,0.0436660000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666607,0.0,71.66666666666667,0.0,26.666666666666668,100.0
230,290,0.14,0.14,200,-1.0,-0.1,0.0436660000000006,0.0436660000000006,0.0,0.0,0.0,0.0,0,0,0.011435020833332915,0.009711764055106976,0.0436660000000006,0.011435020833332915,0.009711764055106976,0.0436660000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.0,80.0,0.0,18.333333333333332,100.0
235,295,0.14,0.14,200,-1.0,-0.1,0.0436660000000006,0.0436660000000006,0.0,0.0,0.0,0.0,0,0,0.010911528301886414,0.009498955709442751,0.0436660000000006,0.010911528301886414,0.009498955709442751,0.0436660000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,50.0,88.33333333333333,0.0,10.0,50.0
240,300,0.14,0.14,200,-1.0,-0.1,0.0436660000000006,0.0436660000000006,0.0,0.0,0.0,0.0,0,0,0.010393724137930637,0.009235463266749955,0.0436660000000006,0.010393724137930637,0.009235463266749955,0.0436660000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666619,100.0,96.66666666666667,0.0,1.6666666666666667,0.0
245,305,0.14,0.14,200,-1.0,-0.1,0.0333539999999995,0.0333539999999995,0.0,0.0,0.0,0.0,0,0,0.009643728813558902,0.008095887321330415,0.0333539999999995,0.009643728813558902,0.008095887321330415,0.0333539999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
250,310,0.14,0.14,200,-1.0,-0.1,0.0333539999999995,0.0333539999999995,0.0,0.0,0.0,0.0,0,0,0.009228050847457234,0.008251474619981224,0.0333539999999995,0.009228050847457234,0.008251474619981224,0.0333539999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
255,315,0.14,0.14,200,-1.0,-0.1,0.0333539999999995,0.0333539999999995,0.0,0.0,0.0,0.0,0,0,0.009144915254236888,0.008220424588580988,0.0333539999999995,0.009144915254236888,0.008220424588580988,0.0333539999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
260,320,0.14,0.14,200,-1.0,-0.1,0.0333539999999995,0.0333539999999995,0.0,0.0,0.0,0.0,0,0,0.008562966101694523,0.008177432645813526,0.0333539999999995,0.008562966101694523,0.008177432645813526,0.0333539999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
265,325,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.008163915254236924,0.008200558294942527,0.0333540000000006,0.008163915254236924,0.008200558294942527,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
270,330,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.0077648644067793045,0.007083972141648302,0.0333540000000006,0.0077648644067793045,0.007083972141648302,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
275,335,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.007598593220338608,0.0070338411236802205,0.0333540000000006,0.007598593220338608,0.0070338411236802205,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
280,340,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.007532084745762323,0.006548298900046023,0.0333540000000006,0.007532084745762323,0.006548298900046023,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
285,345,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.0075154576271182745,0.006752289053983401,0.0333540000000006,0.0075154576271182745,0.006752289053983401,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
290,350,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.00809740677966068,0.006952203730896194,0.0333540000000006,0.00809740677966068,0.006952203730896194,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
295,355,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.008978644067796264,0.007520716136931113,0.0333540000000006,0.008978644067796264,0.007520716136931113,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
300,360,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.009793372881355629,0.008048075061773673,0.0333540000000006,0.009793372881355629,0.008048075061773673,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
305,365,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.0097102372881353,0.00802209797855857,0.0333540000000006,0.0097102372881353,0.00802209797855857,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
310,370,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.010042779661016616,0.007760929155599323,0.0333540000000006,0.010042779661016616,0.007760929155599323,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
